explanatory,niche_resiliance_merlin_estimate,niche_resiliance_merlin_p,model,niche_resiliance_birdlife_estimate,niche_resiliance_birdlife_p,niche_resiliance_both_estimate,niche_resiliance_both_p,niche_resiliance_either_estimate,niche_resiliance_either_p,niche_2_resiliance_merlin_estimate,niche_2_resiliance_merlin_p,niche_2_resiliance_birdlife_estimate,niche_2_resiliance_birdlife_p,niche_2_resiliance_both_estimate,niche_2_resiliance_both_p,niche_2_resiliance_either_estimate,niche_2_resiliance_either_p,niche_3_resiliance_merlin_estimate,niche_3_resiliance_merlin_p,niche_3_resiliance_birdlife_estimate,niche_3_resiliance_birdlife_p,niche_3_resiliance_both_estimate,niche_3_resiliance_both_p,niche_3_resiliance_either_estimate,niche_3_resiliance_either_p
herbaceous_vegetation,-1.059546151125738,0.2945486,subset,-0.7871705951627594,0.462467,-1.6733459061012521,0.1369575,-0.612497834759997,0.5254613,-0.6343845589106499,0.5445971,-0.3608712961245789,0.7402749,-1.0186051212452525,0.370836,-0.4482320995447471,0.6536838,-1.152408853839686,0.2315889,-1.1587037231330752,0.2492801,-1.9463825792001461,0.0702301,-0.5805161489724218,0.5260929
herbaceous_wetland,36.36100569628244,0,subset,39.89244412936937,0,41.91724212753454,0,34.12824002687704,0,29.891599227061256,0,32.347015037085555,0,33.52359056276549,0,28.054891438028907,0,38.16199955596472,0,41.49827438485194,0,44.14058934819098,0,36.13035982801612,0
mean_elevation_scaled,4.014320096161345,0.0208813,subset,2.4793055638467987,0.1014938,3.4252613211714706,0.0535121,3.0397402952328947,0.0446759,5.199865762510238,0.004949,3.016624305591175,0.0628345,4.08594268056054,0.0282883,4.025949907852576,0.0139502,3.763991962322429,0.0184624,2.7392529172826645,0.0491605,3.772452673018007,0.021604,2.8706860467425326,0.0381155
realmAfrotropic,-0.31658533568933594,0.8176945,subset,0.6340537728440955,0.5883952,1.2166274265593109,0.3809382,-0.10964567277883999,0.9250513,-2.4482821874573455,0.1001668,-0.4073205318608352,0.75062,0.32731920246580687,0.8277101,-1.7439169863921529,0.1753566,-0.08025110522370323,0.9488348,0.22409421603220273,0.83487,0.1000471934711116,0.937647,0.2833068007440224,0.7892835
realmAustralasia,2.1858509246244457,0.3127366,subset,3.068812602780818,0.0772451,1.2724431033495565,0.5529504,2.191587800688456,0.2197095,1.1116573129213243,0.6389916,2.1430199144180198,0.2724642,0.4854288357048473,0.8371647,0.5837715122121931,0.7708674,2.509354794727636,0.1993096,1.9496880670412662,0.2172844,1.5154455739753308,0.4379017,1.8281832271464107,0.2546418
realmIndomalayan,2.0092909505465095,0.0186207,subset,1.5803465761425,0.0256682,2.8761051643051188,7.722e-4,1.2867575582240673,0.0718647,0.13284444234174006,0.8864105,0.20985632274632518,0.7894758,1.600432810966677,0.0865966,-0.3461785684070902,0.6634397,2.223462130705706,0.0040764,1.274293263601829,0.0473917,2.0059192564469117,0.0104775,1.6533013620312464,0.0102193
realmNearctic,2.7543968020423852,0.0043765,subset,2.2109199656766836,0.0041883,2.8955875413690118,0.0024264,1.9022938111826333,0.0166612,1.6243801423435171,0.1252288,0.31279886785776156,0.7187858,1.6486611706927057,0.1176047,0.25641294185234503,0.7740616,1.5795552293943158,0.0700353,0.9522993469288518,0.1747971,1.5707503779244987,0.0706526,1.0159209700031904,0.1544341
realmNeotropic,1.7668300706135165,0.0802937,subset,1.7192392334701283,0.0421088,2.702942918468034,0.0077,1.0554280891902852,0.2134107,-0.9469959436647339,0.3889514,-0.6986613618343362,0.4533147,0.4748755093625718,0.667494,-1.6427653337830874,0.0813064,2.2212520008341983,0.0154577,1.2718374424695924,0.0990053,2.3613020313401463,0.0111392,1.3195139293173763,0.0857146
shrubs,-7.054416830729566,1e-7,subset,-8.958682665778117,0,-9.91697574637735,0,-6.8404083969367155,0,-7.250779008913549,1e-7,-9.087722559100659,0,-9.935142155024746,0,-7.23157998108923,0,-6.678519318303371,1e-7,-8.546236538895002,0,-9.744738845839493,0,-6.066981013775863,3e-7
urban,-6.1202873095884405,0,subset,-6.44439813212331,0,-6.797573329636798,0,-5.871636878275836,0,-5.364990659761468,0,-5.51776208921391,0,-5.734298356816882,0,-5.2037781850778595,0,-5.598425297800264,0,-6.234391976626173,0,-6.639510117946381,0,-5.389674477390933,0
open_forest,-0.04853062732106047,0.9571201,subset,-1.766948541456883,0.0623173,-1.6073799147502308,0.108747,-0.6028849008984969,0.4825265,0.7926236270310842,0.3945789,-1.4468386863991445,0.1337495,-1.1344964188207778,0.262428,-0.12137513485864682,0.8914125,-1.706899535770894,0.0467926,-2.870695057288865,0.0012792,-2.9700832487194138,0.0018766,-1.81088207915904,0.0260615
permanent_water,0.4207710736588798,0.5210309,subset,-0.5071259959637328,0.4695078,-0.6057847779173322,0.4122239,0.46257205772526144,0.4598717,0.13433682152942708,0.8437299,-0.3018306333382038,0.6722757,-0.40150907415285497,0.5895613,0.1732951119824379,0.7888675,0.6601156921268525,0.2922031,-0.240739956765271,0.713432,-0.26348152167767197,0.7090651,0.5630517696291442,0.3418779
